english,spanish,policy,domain,note
Agent,Agent,KEEP,ai,American technical term; Mexican devs say the English word
Chain,Chain,KEEP,ai,American technical term; Mexican devs say the English word
Checkpoint,Checkpoint,KEEP,ai,American technical term; Mexican devs say the English word
Context,contexto,TRANSLATE,ai,everyday Spanish equivalent; verbs and common nouns stay Spanish
Embedding,Embedding,KEEP,ai,American technical term; Mexican devs say the English word
Fine-tuning,Fine-tuning,KEEP,ai,American technical term; Mexican devs say the English word
Inference,Inference,KEEP,ai,American technical term; Mexican devs say the English word
LLM,LLM,KEEP,ai,American technical term; Mexican devs say the English word
Model,Model,KEEP,ai,American technical term; Mexican devs say the English word
Multi-Turn,Multi-Turn,KEEP,ai,American technical term; Mexican devs say the English word
RAG,RAG,KEEP,ai,American technical term; Mexican devs say the English word
Temperature,Temperature,KEEP,ai,American technical term; Mexican devs say the English word
Tool,Tool,KEEP,ai,American technical term; Mexican devs say the English word
Vision,Vision,KEEP,ai,American technical term; Mexican devs say the English word
ACPXer,ACPXer,ASSET,asset,agent display name; case and hyphenation are functional
Analyzer,Analyzer,ASSET,asset,agent display name; case and hyphenation are functional
AND,AND,ASSET,asset,agent display name; case and hyphenation are functional
Apirer,Apirer,ASSET,asset,agent display name; case and hyphenation are functional
Arduiner,Arduiner,ASSET,asset,agent display name; case and hyphenation are functional
Asker,Asker,ASSET,asset,agent display name; case and hyphenation are functional
AudioPlayer,AudioPlayer,ASSET,asset,agent display name; case and hyphenation are functional
Barrier,Barrier,ASSET,asset,agent display name; case and hyphenation are functional
Blenderer,Blenderer,ASSET,asset,agent display name; case and hyphenation are functional
Camcorder,Camcorder,ASSET,asset,agent display name; case and hyphenation are functional
Cleaner,Cleaner,ASSET,asset,agent display name; case and hyphenation are functional
Counter,Counter,ASSET,asset,agent display name; case and hyphenation are functional
Crawler,Crawler,ASSET,asset,agent display name; case and hyphenation are functional
Croner,Croner,ASSET,asset,agent display name; case and hyphenation are functional
De-Compresser,De-Compresser,ASSET,asset,agent display name; case and hyphenation are functional
Deleter,Deleter,ASSET,asset,agent display name; case and hyphenation are functional
Discoverer,Discoverer,ASSET,asset,agent display name; case and hyphenation are functional
Dockerer,Dockerer,ASSET,asset,agent display name; case and hyphenation are functional
Editor,Editor,ASSET,asset,agent display name; case and hyphenation are functional
Emailer,Emailer,ASSET,asset,agent display name; case and hyphenation are functional
Ender,Ender,ASSET,asset,agent display name; case and hyphenation are functional
ESP32er,ESP32er,ASSET,asset,agent display name; case and hyphenation are functional
ESPHomer,ESPHomer,ASSET,asset,agent display name; case and hyphenation are functional
Executer,Executer,ASSET,asset,agent display name; case and hyphenation are functional
File-Creator,File-Creator,ASSET,asset,agent display name; case and hyphenation are functional
File-Extractor,File-Extractor,ASSET,asset,agent display name; case and hyphenation are functional
File-Interpreter,File-Interpreter,ASSET,asset,agent display name; case and hyphenation are functional
FlowBacker,FlowBacker,ASSET,asset,agent display name; case and hyphenation are functional
FlowCreator,FlowCreator,ASSET,asset,agent display name; case and hyphenation are functional
FlowHypervisor,FlowHypervisor,ASSET,asset,agent display name; case and hyphenation are functional
Forker,Forker,ASSET,asset,agent display name; case and hyphenation are functional
Gateway Relayer,Gateway Relayer,ASSET,asset,agent display name; case and hyphenation are functional
Gatewayer,Gatewayer,ASSET,asset,agent display name; case and hyphenation are functional
Gitter,Gitter,ASSET,asset,agent display name; case and hyphenation are functional
Globber,Globber,ASSET,asset,agent display name; case and hyphenation are functional
Googler,Googler,ASSET,asset,agent display name; case and hyphenation are functional
Grepper,Grepper,ASSET,asset,agent display name; case and hyphenation are functional
Image-Interpreter,Image-Interpreter,ASSET,asset,agent display name; case and hyphenation are functional
Instant Messaging Doctor,Instant Messaging Doctor,ASSET,asset,agent display name; case and hyphenation are functional
J-Decompiler,J-Decompiler,ASSET,asset,agent display name; case and hyphenation are functional
Jenkinser,Jenkinser,ASSET,asset,agent display name; case and hyphenation are functional
Kalier,Kalier,ASSET,asset,agent display name; case and hyphenation are functional
Keyboarder,Keyboarder,ASSET,asset,agent display name; case and hyphenation are functional
Kuberneter,Kuberneter,ASSET,asset,agent display name; case and hyphenation are functional
Kyber Cipher,Kyber Cipher,ASSET,asset,agent display name; case and hyphenation are functional
Kyber Deciph,Kyber Deciph,ASSET,asset,agent display name; case and hyphenation are functional
Kyber Keygen,Kyber Keygen,ASSET,asset,agent display name; case and hyphenation are functional
Kyber-Cipher,Kyber-Cipher,ASSET,asset,agent display name; case and hyphenation are functional
Kyber-DeCipher,Kyber-DeCipher,ASSET,asset,agent display name; case and hyphenation are functional
Kyber-KeyGen,Kyber-KeyGen,ASSET,asset,agent display name; case and hyphenation are functional
MCP Doctor,MCP Doctor,ASSET,asset,agent display name; case and hyphenation are functional
Mongoxer,Mongoxer,ASSET,asset,agent display name; case and hyphenation are functional
Monitor Netstat,Monitor Netstat,ASSET,asset,agent display name; case and hyphenation are functional
